tweet_id,sarcasm_label,sarcasm_type
992251158159765504,not_sarcastic,
1084373658745876480,not_sarcastic,
812181186,not_sarcastic,
1090276741329928194,not_sarcastic,
553070692682723329,sarcastic,sarcasm
656305619268296704,not_sarcastic,
657590181873094656,not_sarcastic,
1090351571395899392,sarcastic,irony
914961092698353664,not_sarcastic,
4462049401,sarcastic,sarcasm
266014291373735936,not_sarcastic,
298514976090501121,not_sarcastic,
9236792067,not_sarcastic,
1080104089277681664,not_sarcastic,
1048898215662297088,sarcastic,sarcasm
1010968843865354240,not_sarcastic,
1088212777385177088,sarcastic,satire
1090495400752996352,not_sarcastic,
1090418813483380736,not_sarcastic,
1089996273527283713,not_sarcastic,
1060189319808245760,not_sarcastic,
951198457955586049,not_sarcastic,
100010647806427136,sarcastic,rhetorical question
684579304143982592,not_sarcastic,
1087370849794097155,not_sarcastic,
1086600521698426880,not_sarcastic,
1045481324973346822,not_sarcastic,
1035733676770951168,not_sarcastic,
1083059976376066048,sarcastic,sarcasm
1087215762232827904,not_sarcastic,
1081409195314999296,not_sarcastic,
1087421146071515143,not_sarcastic,
994412648249769986,not_sarcastic,
1090717191173894146,not_sarcastic,
1090720078721474560,not_sarcastic,
1090355236261249024,not_sarcastic,
1044765853147951104,not_sarcastic,
1077762347362603009,not_sarcastic,
1025728887433641984,not_sarcastic,
595706691615924226,not_sarcastic,
1088461823844720640,not_sarcastic,
1082032226974330880,not_sarcastic,
1076002868753137664,not_sarcastic,
527553419637039104,sarcastic,sarcasm
578619575375241216,not_sarcastic,
1084904343256662018,not_sarcastic,
1058308246790959104,not_sarcastic,
1091661466388889600,sarcastic,sarcasm
1090951982951612416,not_sarcastic,
1090616854190718977,not_sarcastic,
1090315646724907008,not_sarcastic,
1091268552944951296,not_sarcastic,
776480255733272576,not_sarcastic,
997801714286723072,sarcastic,irony
1084131570787762177,not_sarcastic,
1033383646999334912,not_sarcastic,
1090252704239235079,not_sarcastic,
1085797827551227904,not_sarcastic,
1057025086119657472,not_sarcastic,
1088176696283619336,sarcastic,irony
958123047923437569,sarcastic,sarcasm
957574335262273536,not_sarcastic,
957570287868014592,not_sarcastic,
1088713935803559936,sarcastic,sarcasm
1088094765953024000,not_sarcastic,
1088014934611509248,not_sarcastic,
1087996102408892417,not_sarcastic,
56215316157571072,sarcastic,irony
58359794020519936,not_sarcastic,
32500356650897409,not_sarcastic,
24856149526319104,not_sarcastic,
1017020015424495617,not_sarcastic,
1035451053368647680,not_sarcastic,
935504654322069504,sarcastic,sarcasm
1071195058240671745,not_sarcastic,
933772348314062848,not_sarcastic,
1023647705460105216,not_sarcastic,
1008018463103778816,sarcastic,satire
1082883371049472001,not_sarcastic,
1088537458210467840,not_sarcastic,
1088377736266215424,not_sarcastic,
1075390230990073858,not_sarcastic,
1090676618190876677,sarcastic,satire
769423300426539008,not_sarcastic,
1062460338812215296,not_sarcastic,
1072117899630919683,not_sarcastic,
981897911452749825,not_sarcastic,
1083526034262237184,sarcastic,sarcasm
1084712690638114816,not_sarcastic,
946181675184254976,not_sarcastic,
1086640433256644608,not_sarcastic,
1020335679644020736,sarcastic,sarcasm
967909318250115072,not_sarcastic,
1088705731178713088,not_sarcastic,
1090287939798614016,not_sarcastic,
1000357559717498881,not_sarcastic,
1036406864068730880,not_sarcastic,
1034209134067896320,not_sarcastic,
1049943194228715520,sarcastic,satire
881575283811381249,sarcastic,irony
1046449149313470466,not_sarcastic,
1047251865602285568,not_sarcastic,
655146928972369924,not_sarcastic,
223512489437048832,not_sarcastic,
1039645518563950593,not_sarcastic,
1079066916382216192,not_sarcastic,
1084916389935230976,not_sarcastic,
1086724578930450432,not_sarcastic,
1086494472685346816,not_sarcastic,
1079500780607062016,not_sarcastic,
1044266489912659968,not_sarcastic,
1048282388793577472,not_sarcastic,
1051214334855131141,not_sarcastic,
1091883529783382018,not_sarcastic,
1081713873927852032,not_sarcastic,
1091048058765365248,sarcastic,irony
1090978871279828993,not_sarcastic,
1090947826337632256,not_sarcastic,
1022449156659589120,sarcastic,rhetorical question
1086674479969984512,not_sarcastic,
822494537218228225,not_sarcastic,
1064623848543399936,not_sarcastic,
1078732769298182145,sarcastic,sarcasm
1085915056976457728,not_sarcastic,
797172808828747776,not_sarcastic,
1073654445991518209,not_sarcastic,
1071810544032800768,not_sarcastic,
1068444264370184192,not_sarcastic,
1074762446517092352,not_sarcastic,
1083816438735884289,not_sarcastic,
948242278400823296,not_sarcastic,
862948736904962048,not_sarcastic,
1014660589828935681,sarcastic,satire
943543699652218880,not_sarcastic,
